gene,cell_type,log2fc,pval,padj
DPP4,TRAM-3,-1.4138068457529798,0.5122328638413319,0.960451064784517
GALNT3,TRAM-3,0.7930300062073252,0.9241365160114758,0.9730863032642807
AC009495.3,TRAM-3,2.747233929620033,0.2515386829177294,0.960451064784517
CDCA7,TRAM-3,3.4171827711104004,0.271755601104657,0.960451064784517
GPR155,TRAM-3,1.7187295082713545,0.3049531492728774,0.960451064784517
WIPF1,TRAM-3,1.7593337421928605,0.3115384615384616,0.960451064784517
CHN1,TRAM-3,2.607056271571773,0.21027770933445933,0.960451064784517
TTN,TRAM-3,1.0428760688639769,0.9243071064478668,0.9730863032642807
CCDC141,TRAM-3,2.265894059973034,0.6175110304725469,0.960451064784517
LINC01934,TRAM-3,2.87758845976032,0.3302030556775536,0.960451064784517
ITGA4,TRAM-3,2.55321039055551,0.18998677569053712,0.960451064784517
NCKAP1,TRAM-3,-0.46948528330122,0.47939446753274906,0.960451064784517
SLC40A1,TRAM-3,-0.4153979150160391,0.7321921552682784,0.960451064784517
GLS,TRAM-3,1.9039231598900657,0.19000613979155812,0.960451064784517
STAT4,TRAM-3,-1.7823012900052897,0.2051258411466047,0.960451064784517
AC067945.4,TRAM-3,0.9652345818393233,0.6769173188047828,0.960451064784517
MYO1B,TRAM-3,1.7574296967259218,0.5173383214005809,0.960451064784517
STK17B,TRAM-3,2.1485164165755606,0.1774821209419406,0.960451064784517
HECW2-AS1,TRAM-3,1.886906221154364,0.5651343124399661,0.960451064784517
PGAP1,TRAM-3,1.775193647277085,0.21622504869156267,0.960451064784517
ANKRD44,TRAM-3,2.0189240512141686,0.16558344893859345,0.960451064784517
AC013264.1,TRAM-3,1.3714482307311608,0.6460969787697499,0.960451064784517
ANKRD44-IT1,TRAM-3,1.4339184658238011,0.42450884875595296,0.960451064784517
CLK1,TRAM-3,1.6158560972586722,0.35201486996915743,0.960451064784517
CFLAR,TRAM-3,1.5963977235754427,0.35200960792969394,0.960451064784517
AC064836.4,TRAM-3,0.9246171181676852,0.6338939434359341,0.960451064784517
CD28,TRAM-3,3.080711799259259,0.38037262337344535,0.960451064784517
CTLA4,TRAM-3,0.19598079050565234,0.7221572045921694,0.960451064784517
ICOS,TRAM-3,4.106601748716589,0.06001848719914492,0.960451064784517
EEF1B2,TRAM-3,1.1709749907514422,0.530796886766048,0.960451064784517
ADAM23,TRAM-3,1.182591413278473,0.645909928361869,0.960451064784517
IKZF2,TRAM-3,1.7392134818644616,0.2874690830935873,0.960451064784517
FN1,TRAM-3,4.669932997660397,0.03461538461538462,0.960451064784517
IGFBP2,TRAM-3,1.8201441627944643,0.780769230769231,0.960451064784517
WNT10A,TRAM-3,0.5618788876081148,0.7938709848985264,0.960451064784517
SLC23A3,TRAM-3,-0.35970047119666015,0.7151187684493521,0.960451064784517
